SizeVariantType,Size_Value,SizeCode1,SizeName1,SizeCode2,SizeName2,SizeCode3,SizeName3,SizeCode4,SizeName4
BRCSZ,23,09F,9.00 in,230,23.0 cm,230,23.0 cm,230,23.0 cm
BRCSZ,23.5,09Q,9.25 in,235,23.5 cm,235,23.5 cm,235,23.5 cm
BRCSZ,24,09H,9.50 in,240,24.0 cm,240,24.0 cm,240,24.0 cm
NCKSZ,33,13F,13.00 in,330,33.0 cm,330,33.0 cm,330,33.0 cm
NCKSZ,34,13H,13.50 in,340,34.0 cm,340,34.0 cm,340,34.0 cm
NCKSZ,35,,,350,35.0 cm,350,35.0 cm,350,35.0 cm
NCKSZ,35.5,14F,14.00 in,,,,,,
NCKSZ,36,,,360,36.0 cm,360,36.0 cm,360,36.0 cm
NCKSZ,37,14H,14.50 in,370,37.0 cm,370,37.0 cm,370,37.0 cm
NCKSZ,38,15F,15.00 in,380,38.0 cm,380,38.0 cm,380,38.0 cm
NCKSZ,39,15H,15.50 in,390,39.0 cm,390,39.0 cm,390,39.0 cm
NCKSZ,40,,,400,40.0 cm,400,40.0 cm,400,40.0 cm
NCKSZ,41,16F,16.00 in,410,41.0 cm,410,41.0 cm,410,41.0 cm
NCKSZ,42,16H,16.50 in,420,42.0 cm,420,42.0 cm,420,42.0 cm
NCKSZ,43,17F,17.00 in,430,43.0 cm,430,43.0 cm,430,43.0 cm
NCKSZ,44,,,440,44.0 cm,440,44.0 cm,440,44.0 cm
NCKSZ,45,17H,17.50 in,450,45.0 cm,450,45.0 cm,450,45.0 cm
NCKSZ,46,18F,18.00 in,460,46.0 cm,460,46.0 cm,460,46.0 cm
NCKSZ,47,18H,18.50 in,470,47.0 cm,470,47.0 cm,470,47.0 cm
NCKSZ,48,19F,19.00 in,480,48.0 cm,480,48.0 cm,480,48.0 cm
NCKSZ,49,,,490,49.0 cm,490,49.0 cm,490,49.0 cm
NCKSZ,50,19H,19.50 in,500,50.0 cm,500,50.0 cm,500,50.0 cm
NCKSZ,51,20F,20.00 in,510,51.0 cm,510,51.0 cm,510,51.0 cm
NCKSZ,52,20H,20.50 in,520,52.0 cm,520,52.0 cm,520,52.0 cm
NCKSZ,53,21F,21.00 in,530,53.0 cm,530,53.0 cm,530,53.0 cm
NCKSZ,54,21H,21.50 in,540,54.0 cm,540,54.0 cm,540,54.0 cm
NCKSZ,55,,,550,55.0 cm,550,55.0 cm,550,55.0 cm
NCKSZ,56,22F,22.00 in,560,56.0 cm,560,56.0 cm,560,56.0 cm
NCKSZ,57,22H,22.50 in,570,57.0 cm,570,57.0 cm,570,57.0 cm
NCKSZ,58,23F,23.00 in,580,58.0 cm,580,58.0 cm,580,58.0 cm
NCKSZ,59,,,590,59.0 cm,590,59.0 cm,590,59.0 cm
NCKSZ,60,23H,23.50 in,600,60.0 cm,600,60.0 cm,600,60.0 cm
NCKSZ,61,24F,24.00 in,610,61.0 cm,610,61.0 cm,610,61.0 cm
NCKSZ,62,24H,24.50 in,620,62.0 cm,620,62.0 cm,620,62.0 cm
NCKSZ,63,25F,25.00 in,630,63.0 cm,630,63.0 cm,630,63.0 cm
NCKSZ,64,,,640,64.0 cm,640,64.0 cm,640,64.0 cm
NCKSZ,65,25H,25.50 in,650,65.0 cm,650,65.0 cm,650,65.0 cm
NCKSZ,66,26F,26.00 in,660,66.0 cm,660,66.0 cm,660,66.0 cm
