Variant_Type,Option,Price_Group,Caption1,Caption2,Option_Group
CTTW,5,5,0.05 cttw,0.05 cttw,
CTTW,10,10,0.10 cttw,0.10 cttw,
CTTW,15,15,0.15 cttw,0.15 cttw,
CTTW,20,20,0.20 cttw,0.20 cttw,
CTTW,25,25,0.25 cttw,0.25 cttw,
CTTW,30,30,0.30 cttw,0.30 cttw,
CTTW,35,35,0.35 cttw,0.35 cttw,
CTTW,40,40,0.40 cttw,0.40 cttw,
CTTW,50,50,0.50 cttw,0.50 cttw,
CTTW,60,60,0.60 cttw,0.60 cttw,
CTTW,70,70,0.70 cttw,0.70 cttw,
CTTW,75,75,0.75 cttw,0.75 cttw,
CTTW,80,80,0.80 cttw,0.80 cttw,
CTTW,90,90,0.90 cttw,0.90 cttw,
CTTW,100,100,1.00 cttw,1.00 cttw,
CTTW,110,110,1.10 cttw,1.10 cttw,
CTTW,120,120,1.20 cttw,1.20 cttw,
CTTW,125,125,1.25 cttw,1.25 cttw,
CTTW,140,140,1.40 cttw,1.40 cttw,
CTTW,150,150,1.50 cttw,1.50 cttw,
CTTW,160,160,1.60 cttw,1.60 cttw,
CTTW,170,170,1.70 cttw,1.70 cttw,
CTTW,175,175,1.75 cttw,1.75 cttw,
CTTW,180,180,1.80 cttw,1.80 cttw,
CTTW,200,200,2.00 cttw,2.00 cttw,
CTTW,220,220,2.20 cttw,2.20 cttw,
CTTW,250,250,2.50 cttw,2.50 cttw,
CTTW,270,270,2.70 cttw,2.70 cttw,
CTTW,300,300,3.00 cttw,3.00 cttw,
CTTW,320,320,3.20 cttw,3.20 cttw,
CTTW,350,350,3.50 cttw,3.50 cttw,
CTTW,370,370,3.70 cttw,3.70 cttw,
CTTW,400,400,4.00 cttw,4.00 cttw,
CTTW,420,420,4.20 cttw,4.20 cttw,
CTTW,450,450,4.50 cttw,4.50 cttw,
CTTW,470,470,4.70 cttw,4.70 cttw,
CTTW,500,500,5.00 cttw,5.00 cttw,
CTTW,520,520,5.20 cttw,5.20 cttw,
CTTW,550,550,5.50 cttw,5.50 cttw,
CTTW,570,570,5.70 cttw,5.70 cttw,
CTTW,600,600,6.00 cttw,6.00 cttw,
CTTW,620,620,6.20 cttw,6.20 cttw,
