StyleCode,VariantCode,Shape,Setting,StoneCount,StoneSize,Metal,Quality,Price
WBRDFP,WBRDFP-140M05,Round,French Pave,5 Stone,1.4 mm,18,F-G / VS (Mined),540.00
WBRDFP,WBRDFP-140M05,Round,French Pave,5 Stone,1.4 mm,18,G-H / SI (Mined),535.00
WBRDFP,WBRDFP-140M05,Round,French Pave,5 Stone,1.4 mm,18,E-F / VS  (Lab Grown),520.00
WBRDFP,WBRDFP-140M05,Round,French Pave,5 Stone,1.4 mm,PLAT,F-G / VS (Mined),530.00
WBRDFP,WBRDFP-140M05,Round,French Pave,5 Stone,1.4 mm,PLAT,G-H / SI (Mined),520.00
WBRDFP,WBRDFP-140M05,Round,French Pave,5 Stone,1.4 mm,PLAT,E-F / VS  (Lab Grown),510.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,10,F-G / VS (Mined),360.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,10,G-H / SI (Mined),335.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,10,E-F / VS  (Lab Grown),300.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,14,F-G / VS (Mined),535.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,14,G-H / SI (Mined),515.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,14,E-F / VS  (Lab Grown),475.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,18,F-G / VS (Mined),720.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,18,G-H / SI (Mined),700.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,18,E-F / VS  (Lab Grown),660.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,PLAT,F-G / VS (Mined),705.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,PLAT,G-H / SI (Mined),680.00
WBRDFP,WBRDFP-190M05,Round,French Pave,5 Stone,1.9 mm,PLAT,E-F / VS  (Lab Grown),645.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,10,F-G / VS (Mined),535.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,10,G-H / SI (Mined),480.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,10,E-F / VS  (Lab Grown),375.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,14,F-G / VS (Mined),750.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,14,G-H / SI (Mined),700.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,14,E-F / VS  (Lab Grown),590.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,18,F-G / VS (Mined),980.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,18,G-H / SI (Mined),930.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,18,E-F / VS  (Lab Grown),820.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,PLAT,F-G / VS (Mined),960.00
