DesignNumber,Type,Thumbnail_Folder,Image_Folder,SubType,PrimaryShape,PrimarySetting,AccentShape,AccentSetting,Texture,Halo,ShankStudded,ShankType
BR03000048,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR03000048/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR03000048/,,,,,,,,,
BR03000068,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR03000068/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR03000068/,,,,,,,,,
BR03000086,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR03000086/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR03000086/,,,,,,,,,
BR03000099,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR03000099/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR03000099/,,,,,,,,,
BR03000111,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR03000111/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR03000111/,,,,,,,,,
BR03000112,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR03000112/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR03000112/,,,,,,,,,
BR03000113,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR03000113/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR03000113/,,,,,,,,,
BR03000116,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR03000116/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR03000116/,,,,,,,,,
BR04000002,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000002/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000002/,,,,,,,,,
BR04000003,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000003/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000003/,,,,,,,,,
BR04000004,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000004/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000004/,,,,,,,,,
BR04000005,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000005/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000005/,,,,,,,,,
BR04000006,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000006/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000006/,,,,,,,,,
BR04000007,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000007/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000007/,,,,,,,,,
BR04000008,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000008/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000008/,,,,,,,,,
BR04000009,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000009/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000009/,,,,,,,,,
BR04000010,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000010/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000010/,,,,,,,,,
BR04000011,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000011/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000011/,,,,,,,,,
BR04000012,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000012/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000012/,,,,,,,,,
BR04000013,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000013/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000013/,,,,,,,,,
BR04000014,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000014/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000014/,,,,,,,,,
BR04000015,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000015/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000015/,,,,,,,,,
